RestaurantID,RestaurantName,City,Cuisine,Rating,CostForTwo,FoodType
144,Hyderabad Cafe,Mumbai,Bakery,4.5,350,Non-Veg
145,Dosa Zone,Kolkata,Biryani,3.5,450,Both
146,Urban Garden,Bengaluru,Bakery,2.9,700,Veg
147,Classic Corner,Pune,Fast Food,4.1,350,Non-Veg
148,Dosa Palace,Bengaluru,Continental,3.1,300,Veg
149,Dosa Garden,Pune,Chinese,3.4,800,Non-Veg
150,Spice Garden,Delhi,South Indian,2.9,700,Both
151,The Bowl,Pune,Italian,4.4,400,Veg
152,Momo Spot,Delhi,Chinese,3.2,700,Non-Veg
153,Punjabi Corner,Delhi,Bakery,4.6,600,Non-Veg
154,Punjabi Hut,Ahmedabad,Desserts,3.5,800,Both
155,Coastal Corner,Pune,Bakery,2.9,300,Non-Veg
156,Grand Zone,Chennai,Bakery,4.2,700,Veg
157,Biryani Diner,Kolkata,Chinese,2.8,300,Veg
158,Momo Cafe,Chennai,Chinese,4.2,400,Non-Veg
159,Biryani Treats,Ahmedabad,Street Food,3.0,800,Both
160,Tasty Cafe,Delhi,Street Food,3.2,800,Veg
161,Tasty Bites,Bengaluru,Bakery,4.0,700,Veg
162,Royal Garden,Pune,Street Food,4.7,600,Non-Veg
163,Golden Express,Kolkata,Italian,4.7,700,Both
164,Pizza Spot,Mumbai,Biryani,3.6,150,Both
165,Coastal Plaza,Delhi,Street Food,3.1,250,Veg
166,Golden Table,Chennai,North Indian,3.3,500,Veg
167,Royal Junction,Chennai,Biryani,3.8,500,Veg
168,Royal Diner,Mumbai,Street Food,4.1,350,Both
169,Green Hut,Delhi,Biryani,4.2,400,Both
170,Green Palace,Hyderabad,Street Food,3.7,400,Non-Veg
171,Grand Plaza,Bengaluru,Street Food,4.7,500,Veg
172,Coastal Bowl,Pune,Italian,3.1,250,Non-Veg
173,Coastal Villa,Chennai,South Indian,3.8,500,Non-Veg
174,Hyderabad Villa,Bengaluru,Italian,2.9,700,Both
175,Hyderabad House,Bengaluru,Bakery,3.1,250,Non-Veg
176,Dosa Plaza,Bengaluru,Fast Food,4.8,300,Non-Veg
177,Grand Point,Hyderabad,Biryani,4.1,700,Veg
178,Green Point,Chennai,Continental,4.1,200,Veg
179,Spice Junction,Kolkata,Chinese,4.1,250,Non-Veg
180,South Plaza,Bengaluru,Street Food,3.9,200,Veg
181,South Garden,Bengaluru,Biryani,3.9,400,Veg
182,Classic Villa,Hyderabad,Continental,4.5,450,Non-Veg
183,Golden Cafe,Ahmedabad,Italian,4.7,200,Non-Veg
184,Classic Bites,Kolkata,Italian,4.2,400,Non-Veg
185,Biryani Corner,Delhi,Biryani,4.2,350,Non-Veg
186,Bombay Express,Pune,Biryani,4.4,450,Both
187,Sizzling Hut,Chennai,Biryani,4.3,800,Veg
188,Coastal Zone,Delhi,South Indian,3.3,450,Non-Veg
189,The Plaza,Bengaluru,Chinese,3.6,800,Veg
190,Momo Bowl,Mumbai,Fast Food,3.3,200,Both
191,Royal Palace,Kolkata,Bakery,4.2,350,Both
192,South Kitchen,Delhi,Continental,3.7,300,Both
193,Classic Treats,Hyderabad,North Indian,4.4,600,Both
194,Hyderabad Kitchen,Chennai,Italian,4.2,250,Veg
195,Biryani Palace,Kolkata,Bakery,3.2,150,Both
196,Tasty Bowl,Pune,Street Food,4.7,400,Non-Veg
197,Green Hub,Hyderabad,Continental,4.8,700,Veg
198,Sizzling Diner,Mumbai,Street Food,4.8,600,Both
199,Green Zone,Kolkata,Bakery,3.8,300,Non-Veg
200,Bombay Bites,Ahmedabad,South Indian,3.3,450,Both
201,Biryani Spot,Bengaluru,Fast Food,3.3,200,Non-Veg
202,Biryani Junction,Pune,Chinese,4.8,800,Veg
203,Grand Junction,Hyderabad,Italian,4.6,300,Veg
204,Punjabi Hub,Chennai,Chinese,4.4,200,Veg
205,Royal Table,Chennai,Bakery,3.5,700,Non-Veg
206,Dosa Hub,Delhi,North Indian,3.9,450,Non-Veg
207,The Kitchen,Chennai,Biryani,4.6,250,Non-Veg
208,Urban Spot,Ahmedabad,Desserts,4.2,150,Both
209,Punjabi Palace,Mumbai,Desserts,3.6,350,Veg
210,Momo Junction,Kolkata,Desserts,3.6,450,Non-Veg
211,Pizza Point,Delhi,Bakery,4.2,200,Both
212,Dosa Junction,Delhi,Chinese,3.8,150,Veg
213,Grand Treats,Pune,Street Food,4.6,150,Non-Veg
214,Green Table,Mumbai,Continental,4.4,350,Non-Veg
215,Biryani Bites,Kolkata,South Indian,3.5,800,Both
216,Hyderabad Treats,Chennai,Desserts,4.2,500,Both
217,Pizza Bowl,Kolkata,Bakery,3.4,800,Veg
218,Coastal Diner,Chennai,Fast Food,4.3,700,Both
219,Pizza Express,Ahmedabad,Biryani,3.2,150,Veg
220,Tasty Junction,Delhi,Biryani,3.0,200,Non-Veg
221,Classic Bowl,Mumbai,Fast Food,4.1,200,Both
222,Dosa Treats,Hyderabad,Italian,4.3,500,Both
223,Golden House,Delhi,North Indian,2.9,400,Non-Veg
224,The Zone,Delhi,Street Food,3.2,700,Non-Veg
225,Bombay Villa,Pune,Desserts,3.8,300,Veg
226,Pizza Treats,Chennai,Biryani,3.3,350,Veg
227,Spice Spot,Delhi,Desserts,3.4,600,Veg
228,Sizzling Bites,Kolkata,Fast Food,4.1,150,Both
229,Tasty Villa,Hyderabad,Street Food,4.4,700,Both
230,Green Treats,Pune,Biryani,3.2,200,Veg
231,Golden Treats,Mumbai,Continental,4.1,350,Both
232,Spice Point,Mumbai,Fast Food,3.4,500,Both
233,Spice Hub,Mumbai,Chinese,2.8,300,Non-Veg
234,Grand Express,Ahmedabad,North Indian,3.5,250,Veg
235,Punjabi Cafe,Kolkata,North Indian,3.1,300,Non-Veg
236,Pizza Corner,Hyderabad,Continental,3.6,350,Non-Veg
237,The Spot,Mumbai,Fast Food,3.8,350,Veg
238,Curry Bites,Delhi,Fast Food,4.0,450,Veg
239,Grand Bowl,Chennai,North Indian,2.9,800,Veg
240,The Corner,Delhi,Continental,3.3,600,Both
241,Dosa Express,Delhi,Fast Food,4.7,500,Both
242,Pizza Garden,Pune,Street Food,4.3,300,Both
243,Hyderabad Garden,Chennai,Desserts,4.3,350,Both
244,Golden Zone,Pune,Fast Food,3.9,500,Veg
245,Classic Palace,Delhi,North Indian,4.1,400,Both
246,Classic Table,Delhi,Bakery,3.4,450,Both
247,Golden Point,Bengaluru,Italian,3.0,300,Veg
248,Dosa Table,Pune,North Indian,3.6,700,Both
249,Punjabi Table,Mumbai,Continental,4.5,150,Non-Veg
250,Classic Kitchen,Mumbai,Fast Food,3.0,300,Both
